Region,State,Date,Confirmed,Death
Northeast,CE,2020-03-18,20,0
Northeast,CE,2020-03-19,24,0
Northeast,CE,2020-03-20,68,0
Northeast,CE,2020-03-21,84,0
Northeast,CE,2020-03-22,125,0
Northeast,CE,2020-03-23,164,0
Northeast,CE,2020-03-24,185,0
Northeast,CE,2020-03-25,211,0
Northeast,CE,2020-03-26,235,0
Northeast,CE,2020-03-27,282,3
Midwest,DF,2020-02-25,0,0
Midwest,DF,2020-02-26,0,0
Midwest,DF,2020-02-27,0,0
Midwest,DF,2020-02-28,0,0
Midwest,DF,2020-02-29,0,0
Midwest,DF,2020-03-01,0,0
Midwest,DF,2020-03-02,0,0
Midwest,DF,2020-03-03,0,0
Midwest,DF,2020-03-04,0,0
Midwest,DF,2020-03-05,0,0
Midwest,DF,2020-03-06,0,0
Midwest,DF,2020-03-07,1,0
Midwest,DF,2020-03-08,1,0
Midwest,DF,2020-03-09,1,0
Midwest,DF,2020-03-10,2,0
Midwest,DF,2020-03-11,2,0
Midwest,DF,2020-03-12,3,0
Midwest,DF,2020-03-13,3,0
Midwest,DF,2020-03-14,8,0
Midwest,DF,2020-03-15,14,0
Midwest,DF,2020-03-16,19,0
Midwest,DF,2020-03-17,21,0
Midwest,DF,2020-03-18,36,0
Midwest,DF,2020-03-19,42,0
Midwest,DF,2020-03-20,87,0
Midwest,DF,2020-03-21,112,0
Midwest,DF,2020-03-22,135,0
Midwest,DF,2020-03-23,146,0
Midwest,DF,2020-03-24,177,0
Midwest,DF,2020-03-25,191,0
Midwest,DF,2020-03-26,203,0
Midwest,DF,2020-03-27,240,1
Southeast,ES,2020-02-25,0,0
Southeast,ES,2020-02-26,0,0
Southeast,ES,2020-02-27,0,0
Southeast,ES,2020-02-28,0,0
Southeast,ES,2020-02-29,0,0
Southeast,ES,2020-03-01,0,0
Southeast,ES,2020-03-02,0,0
Southeast,ES,2020-03-03,0,0
Southeast,ES,2020-03-04,0,0
Southeast,ES,2020-03-05,1,0
Southeast,ES,2020-03-06,1,0
Southeast,ES,2020-03-07,1,0
Southeast,ES,2020-03-08,1,0
Southeast,ES,2020-03-09,1,0
Southeast,ES,2020-03-10,1,0
Southeast,ES,2020-03-11,1,0
Southeast,ES,2020-03-12,2,0
Southeast,ES,2020-03-13,2,0
Southeast,ES,2020-03-14,4,0
Southeast,ES,2020-03-15,4,0
Southeast,ES,2020-03-16,8,0
Southeast,ES,2020-03-17,8,0
Southeast,ES,2020-03-18,11,0
Southeast,ES,2020-03-19,13,0
Southeast,ES,2020-03-20,16,0
Southeast,ES,2020-03-21,26,0
Southeast,ES,2020-03-22,26,0
Southeast,ES,2020-03-23,33,0
Southeast,ES,2020-03-24,40,0
Southeast,ES,2020-03-25,40,0
Southeast,ES,2020-03-26,48,0
Southeast,ES,2020-03-27,54,0
Midwest,GO,2020-02-25,0,0
Midwest,GO,2020-02-26,0,0
Midwest,GO,2020-02-27,0,0
Midwest,GO,2020-02-28,0,0
Midwest,GO,2020-02-29,0,0
Midwest,GO,2020-03-01,0,0
Midwest,GO,2020-03-02,0,0
Midwest,GO,2020-03-03,0,0
Midwest,GO,2020-03-04,0,0
Midwest,GO,2020-03-05,0,0
Midwest,GO,2020-03-06,0,0
Midwest,GO,2020-03-07,0,0
Midwest,GO,2020-03-08,0,0
Midwest,GO,2020-03-09,0,0
Midwest,GO,2020-03-10,0,0
Midwest,GO,2020-03-11,0,0
Midwest,GO,2020-03-12,3,0
Midwest,GO,2020-03-13,3,0
Midwest,GO,2020-03-14,4,0
Midwest,GO,2020-03-15,4,0
Midwest,GO,2020-03-16,7,0
Midwest,GO,2020-03-17,10,0
Midwest,GO,2020-03-18,12,0
Midwest,GO,2020-03-19,15,0
Midwest,GO,2020-03-20,18,0
Midwest,GO,2020-03-21,20,0
Midwest,GO,2020-03-22,21,0
Midwest,GO,2020-03-23,23,0
Midwest,GO,2020-03-24,29,0
Midwest,GO,2020-03-25,35,0
Midwest,GO,2020-03-26,38,1
Midwest,GO,2020-03-27,49,NA
Northeast,MA,2020-02-25,0,0
Northeast,MA,2020-02-26,0,0
Northeast,MA,2020-02-27,0,0
Northeast,MA,2020-02-28,0,0
Northeast,MA,2020-02-29,0,0
Northeast,MA,2020-03-01,0,0
Northeast,MA,2020-03-02,0,0
Northeast,MA,2020-03-03,0,0
Northeast,MA,2020-03-04,0,0
Northeast,MA,2020-03-05,0,0
Northeast,MA,2020-03-06,0,0
Northeast,MA,2020-03-07,0,0
Northeast,MA,2020-03-08,0,0
Northeast,MA,2020-03-09,0,0
Northeast,MA,2020-03-10,0,0
Northeast,MA,2020-03-11,0,0
Northeast,MA,2020-03-12,0,0
Northeast,MA,2020-03-13,0,0
Northeast,MA,2020-03-14,0,0
Northeast,MA,2020-03-15,0,0
Northeast,MA,2020-03-16,0,0
Northeast,MA,2020-03-17,0,0
Northeast,MA,2020-03-18,0,0
Northeast,MA,2020-03-19,0,0
Northeast,MA,2020-03-20,1,0
Northeast,MA,2020-03-21,2,0
Northeast,MA,2020-03-22,2,0
Northeast,MA,2020-03-23,8,0
Northeast,MA,2020-03-24,8,0
Northeast,MA,2020-03-25,8,0
Northeast,MA,2020-03-26,10,0
Northeast,MA,2020-03-27,14,0
Southeast,MG,2020-02-25,0,0
Southeast,MG,2020-02-26,0,0
Southeast,MG,2020-02-27,0,0
Southeast,MG,2020-02-28,0,0
Southeast,MG,2020-02-29,0,0
Southeast,MG,2020-03-01,0,0
Southeast,MG,2020-03-02,0,0
Southeast,MG,2020-03-03,0,0
Southeast,MG,2020-03-04,0,0
Southeast,MG,2020-03-05,0,0
Southeast,MG,2020-03-06,0,0
