Region,State,Date,Confirmed
Midwest,DF,2020-03-19,42
Midwest,DF,2020-03-20,87
Midwest,DF,2020-03-21,112
Midwest,DF,2020-03-22,134
Midwest,DF,2020-03-23,146
Midwest,DF,2020-03-24,161
Midwest,DF,2020-03-25,177
Southeast,ES,2020-02-25,0
Southeast,ES,2020-02-26,0
Southeast,ES,2020-02-27,0
Southeast,ES,2020-02-28,0
Southeast,ES,2020-02-29,0
Southeast,ES,2020-03-01,0
Southeast,ES,2020-03-02,0
Southeast,ES,2020-03-03,0
Southeast,ES,2020-03-04,0
Southeast,ES,2020-03-05,1
Southeast,ES,2020-03-06,1
Southeast,ES,2020-03-07,1
Southeast,ES,2020-03-08,1
Southeast,ES,2020-03-09,1
Southeast,ES,2020-03-10,1
Southeast,ES,2020-03-11,1
Southeast,ES,2020-03-12,2
Southeast,ES,2020-03-13,2
Southeast,ES,2020-03-14,4
Southeast,ES,2020-03-15,4
Southeast,ES,2020-03-16,8
Southeast,ES,2020-03-17,8
Southeast,ES,2020-03-18,11
Southeast,ES,2020-03-19,13
Southeast,ES,2020-03-20,16
Southeast,ES,2020-03-21,26
Southeast,ES,2020-03-22,26
Southeast,ES,2020-03-23,33
Southeast,ES,2020-03-24,40
Southeast,ES,2020-03-25,40
Midwest,GO,2020-02-25,0
Midwest,GO,2020-02-26,0
Midwest,GO,2020-02-27,0
Midwest,GO,2020-02-28,0
Midwest,GO,2020-02-29,0
Midwest,GO,2020-03-01,0
Midwest,GO,2020-03-02,0
Midwest,GO,2020-03-03,0
Midwest,GO,2020-03-04,0
Midwest,GO,2020-03-05,0
Midwest,GO,2020-03-06,0
Midwest,GO,2020-03-07,0
Midwest,GO,2020-03-08,0
Midwest,GO,2020-03-09,0
Midwest,GO,2020-03-10,0
Midwest,GO,2020-03-11,0
Midwest,GO,2020-03-12,3
Midwest,GO,2020-03-13,3
Midwest,GO,2020-03-14,4
Midwest,GO,2020-03-15,4
Midwest,GO,2020-03-16,7
Midwest,GO,2020-03-17,10
Midwest,GO,2020-03-18,12
Midwest,GO,2020-03-19,15
Midwest,GO,2020-03-20,18
Midwest,GO,2020-03-21,20
Midwest,GO,2020-03-22,21
Midwest,GO,2020-03-23,23
Midwest,GO,2020-03-24,29
Midwest,GO,2020-03-25,29
Northeast,MA,2020-02-25,0
Northeast,MA,2020-02-26,0
Northeast,MA,2020-02-27,0
Northeast,MA,2020-02-28,0
Northeast,MA,2020-02-29,0
Northeast,MA,2020-03-01,0
Northeast,MA,2020-03-02,0
Northeast,MA,2020-03-03,0
Northeast,MA,2020-03-04,0
Northeast,MA,2020-03-05,0
Northeast,MA,2020-03-06,0
Northeast,MA,2020-03-07,0
Northeast,MA,2020-03-08,0
Northeast,MA,2020-03-09,0
Northeast,MA,2020-03-10,0
Northeast,MA,2020-03-11,0
Northeast,MA,2020-03-12,0
Northeast,MA,2020-03-13,0
Northeast,MA,2020-03-14,0
Northeast,MA,2020-03-15,0
Northeast,MA,2020-03-16,0
Northeast,MA,2020-03-17,0
Northeast,MA,2020-03-18,0
Northeast,MA,2020-03-19,0
Northeast,MA,2020-03-20,1
Northeast,MA,2020-03-21,2
Northeast,MA,2020-03-22,2
Northeast,MA,2020-03-23,8
Northeast,MA,2020-03-24,8
Northeast,MA,2020-03-25,8
Southeast,MG,2020-02-25,0
Southeast,MG,2020-02-26,0
Southeast,MG,2020-02-27,0
Southeast,MG,2020-02-28,0
Southeast,MG,2020-02-29,0
Southeast,MG,2020-03-01,0
Southeast,MG,2020-03-02,0
Southeast,MG,2020-03-03,0
Southeast,MG,2020-03-04,0
Southeast,MG,2020-03-05,0
Southeast,MG,2020-03-06,0
Southeast,MG,2020-03-07,0
Southeast,MG,2020-03-08,1
Southeast,MG,2020-03-09,1
Southeast,MG,2020-03-10,1
Southeast,MG,2020-03-11,1
Southeast,MG,2020-03-12,2
Southeast,MG,2020-03-13,2
Southeast,MG,2020-03-14,4
Southeast,MG,2020-03-15,2
Southeast,MG,2020-03-16,6
Southeast,MG,2020-03-17,14
Southeast,MG,2020-03-18,19
Southeast,MG,2020-03-19,29
Southeast,MG,2020-03-20,38
Southeast,MG,2020-03-21,55
Southeast,MG,2020-03-22,83
Southeast,MG,2020-03-23,128
Southeast,MG,2020-03-24,130
Southeast,MG,2020-03-25,133
Midwest,MS,2020-02-25,0
Midwest,MS,2020-02-26,0
Midwest,MS,2020-02-27,0
Midwest,MS,2020-02-28,0
Midwest,MS,2020-02-29,0
Midwest,MS,2020-03-01,0
Midwest,MS,2020-03-02,0
Midwest,MS,2020-03-03,0
Midwest,MS,2020-03-04,0
Midwest,MS,2020-03-05,0
Midwest,MS,2020-03-06,0
Midwest,MS,2020-03-07,0
Midwest,MS,2020-03-08,0
Midwest,MS,2020-03-09,0
Midwest,MS,2020-03-10,0
Midwest,MS,2020-03-11,0
Midwest,MS,2020-03-12,0
Midwest,MS,2020-03-13,0
Midwest,MS,2020-03-14,2
Midwest,MS,2020-03-15,2
Midwest,MS,2020-03-16,4
Midwest,MS,2020-03-17,6
Midwest,MS,2020-03-18,7
Midwest,MS,2020-03-19,9
Midwest,MS,2020-03-20,12
Midwest,MS,2020-03-21,16
Midwest,MS,2020-03-22,21
Midwest,MS,2020-03-23,21
Midwest,MS,2020-03-24,24
Midwest,MS,2020-03-25,24
Midwest,MT,2020-02-25,0
Midwest,MT,2020-02-26,0
Midwest,MT,2020-02-27,0
Midwest,MT,2020-02-28,0
Midwest,MT,2020-02-29,0
Midwest,MT,2020-03-01,0
Midwest,MT,2020-03-02,0
Midwest,MT,2020-03-03,0
Midwest,MT,2020-03-04,0
Midwest,MT,2020-03-05,0
Midwest,MT,2020-03-06,0
Midwest,MT,2020-03-07,0
Midwest,MT,2020-03-08,0
Midwest,MT,2020-03-09,0
Midwest,MT,2020-03-10,0
Midwest,MT,2020-03-11,0
Midwest,MT,2020-03-12,0
Midwest,MT,2020-03-13,0
Midwest,MT,2020-03-14,0
Midwest,MT,2020-03-15,0
Midwest,MT,2020-03-16,0
Midwest,MT,2020-03-17,0
Midwest,MT,2020-03-18,0
Midwest,MT,2020-03-19,1
Midwest,MT,2020-03-20,1
Midwest,MT,2020-03-21,2
Midwest,MT,2020-03-22,2
Midwest,MT,2020-03-23,6
Midwest,MT,2020-03-24,7
Midwest,MT,2020-03-25,9
North,PA,2020-02-25,0
North,PA,2020-02-26,0
North,PA,2020-02-27,0
North,PA,2020-02-28,0
North,PA,2020-02-29,0
