Region,Province,Territory,Population,DemDensity,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07
Southeast,MG,586521.121,21168791,33.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,6,6,6,9,11,14,15,17,17,20,23,27,30,33,35,39,39,41,44,47,51,54,58,61,62,71,80,82,88,88,89,90,94,97,106,111,118,119,121,127,135,139,146,150,156,161,167,177,191,201,217,226,230,234,240,255,257,263,271,278,289,306,323,344,368,376
Midwest,MS,357145.535,2778986,6.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,5,5,5,5,5,6,6,7,7,7,7,9,9,9,9,9,9,10,10,10,10,10,11,11,11,11,12,13,14,14,14,15,16,16,17,17,17,17,17,17,18,18,18,NA,NA,20,20,NA,20,21,21,21,NA
Midwest,MT,903206.997,3484466,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,4,4,4,5,5,5,5,6,6,6,7,8,9,9,10,11,11,11,11,12,12,13,14,14,14,15,16,18,19,20,21,24,26,27,27,30,32,32,34,37,37,0,42,43,47,54,57,58,63,67,75,79,84,91,101,113
North,PA,1245759.305,8602865,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,5,5,7,7,9,11,14,15,21,21,26,32,33,34,35,38,43,53,86,95,114,122,132,156,224,263,306,320,344,375,410,488,574,610,672,812,914,1022,1095,1175,1223,1280,1392,1554,1778,1893,2003,2150,2290,2431,2522,2605,2785,2900,2920,2923,3040,3144,3245,3492,3573,3665,3714
Northeast,PB,56467.239,4018127,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,4,4,4,7,11,11,13,13,16,21,24,26,28,29,32,33,39,40,44,46,49,50,53,58,62,67,74,76,79,85,92,101,111,114,124,135,139,154,157,160,170,183,194,207,219,230,245,248,258,272,279,286,298,318,327,346,360,370,379,414,438,451,467,484
Northeast,PE,98068.021,9557071,89.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,5,6,6,8,9,10,14,21,30,34,46,56,65,72,85,102,115,143,160,186,205,216,234,260,282,312,352,381,415,450,508,538,565,603,628,652,691,749,803,845,927,972,1047,1087,1157,1224,1298,1381,1461,1516,1640,1741,1834,1925,2057,2144,2200,2248,2328,2468,2566,2669,2740,2807,2875,2933,3012,3134,3205,3270,3305
Northeast,PI,251616.823,3273227,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,4,4,4,4,4,4,5,6,7,7,7,7,8,8,8,8,8,10,12,14,15,15,16,17,18,20,21,24,24,24,26,28,28,29,30,35,37,38,42,45,49,57,60,60,65,72,80,85,87,91,93,99,107,110,119,134,138,146,157,161,168,180,192,202,217,224,254,254
South,PR,199305.236,11433957,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,4,5,7,10,14,15,17,24,26,27,31,33,39,41,43,44,49,50,51,53,58,60,65,69,73,75,77,82,86,89,90,93,94,99,101,104,106,107,109,111,113,117,119,120,123,124,127,130,137,141,146,150,153,156,159,162,169,173,181,182,190,199,205,215,227,232,237
Southeast,RJ,43750.423,17264943,365.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,4,6,8,9,10,13,17,18,23,28,41,47,58,64,71,89,106,122,147,155,170,188,224,265,301,341,387,402,422,461,490,530,570,615,645,677,738,794,854,921,971,1019,1065,1123,1205,1394,1503,1653,1714,1770,1928,2050,2247,2438,2614,2715,2852,3079,3237,3412,3657,3905,3993,4105,4361,4605,4856,5079,5277,5344,5462,5686,6010,6327,6473,6639,6707
Northeast,RN,52809.602,3506853,59.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,4,6,6,7,8,11,11,11,13,17,18,19,20,23,24,26,27,28,29,34,38,40,44,45,48,54,56,56,59,59,62,68,72,76,81,87,87,92,93,105,117,122,122,136,139,146,160,170,178,181,184,200,212,220,242,242,268,305,305,323,341,367,378,387,410,424
North,RO,237765.233,1777225,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,4,4,4,5,5,5,6,7,10,10,11,15,16,18,23,24,25,30,33,37,39,41,43,47,50,50,56,62,69,74,83,88,90,101,106,115,121,121,133,137,142,145,151,156,159,172,180,194,213,228,235
North,RR,224273.831,605761,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,6,7,7,9,10,11,11,13,14,16,18,21,24,27,29,37,40,49,51,51,64,72,83,83,83,81,84,102,102,102,108,110,116,116,120,124,127,139,139,142,142
South,RS,281707.151,11377239,37.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,4,4,5,5,6,7,7,8,8,11,14,15,16,16,17,18,19,21,24,24,26,27,27,28,29,34,35,38,45,49,51,58,62,65,67,76,83,90,91,95,97,100,105,111,120,126,132,138,144,151,160,161,166,172,176,180,197,203,209,213,216,218,224,232,245,258,265,276,283,286
South,SC,95730.921,7164788,65.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,5,5,10,10,11,15,17,18,18,21,24,26,28,29,30,31,32,35,35,37,39,42,42,42,43,44,44,46,48,50,52,52,55,58,59,63,63,64,65,69,73,73,78,79,81,83,85,91,94,98,100,103,105,109,121,126,131,134,136,143,146,148,152,156,159,166,171
Northeast,SE,21926.908,2298696,94.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,7,7,8,8,9,9,11,11,12,14,14,14,14,17,21,23,25,28,33,34,37,37,42,47,50,53,57,59,63,69,76,82,86,93,103,116,127,135,142,149,158,166,172,180,186,198,208,217
Southeast,SP,248219.481,45919049,166.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,9,15,22,30,40,48,58,68,84,98,113,136,164,208,219,260,275,304,371,428,496,540,560,588,608,695,778,853,928,991,1015,1037,1093,1134,1345,1512,1667,1700,1825,2049,2247,2375,2511,2586,2627,2654,2851,3045,3206,3416,3608,3709,3743,3949,4118,4315,4501,4688,4782,4823,5147,5363,5558,5773,6045,6163,6220,6423,6712,6980,7275,7532,7615,7667,7994,8276,8560,8842,9058,9145
North,TO,277720.404,1572866,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,4,4,6,7,9,9,9,9,11,12,14,21,23,24,27,31,32,38,42,47,49,51,52,58,64,65,68,70,71,73,76,79,82,87,89,96,99,99
